conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,1990,1,1,3,1946-05-31,3,1990-07-10,2,630,NA,NA,NA,630,2,3,20504,4,1990,1,5,1990,1990-08-17,2,1,1,4.2024002,Intrastate,Other/Unclear,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,1993,1,1,3,1946-05-31,3,1993-09-12,2,630,NA,NA,NA,630,2,3,20505,5,1993,1,5,1993,1993-11-11,2,1,1,4.2024002,Intrastate,Other/Unclear,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,1996,1,1,3,1946-05-31,3,1996-07-28,2,630,NA,NA,NA,630,2,3,20506,6,1996,1,5,1996,1996-07-28,2,1,1,4.2024002,Intrastate,Other/Unclear,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,2016,1,1,3,1946-05-31,3,2016-09-07,2,630,NA,NA,NA,630,2,3,20507,7,2016,1,5,2016,2016-12-20,2,1,1,4.2024002,Intrastate,Other/Unclear,1,2,External Support
205,Iran,Government of Iran,114,NA,KDPI,164,NA,1,Kurdistan,2018,1,1,3,1946-05-31,3,2018-08-11,1,630,NA,NA,NA,630,2,3,20508,8,2018,1,5,2018,2018-10-12,2,1,1,4.2024002,Intrastate,Other/Unclear,1,2,External Support
206,Iran,Government of Iran,114,NA,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1946,1,0,4,1945-11-19,1,1946-12-16,5,630,NA,NA,365,630,2,3,20601,1,1946,1,3,1946,1946-12-16,1,1,1,4.2024002,Intl. Intrastate,Victory,NA,NA,No External Support
207,Israel,Government of United Kingdom,28,NA,IZL [Etzel],166,NA,1,Israel,1946,1,0,1,1939-03-31,4,1946-12-31,5,200,NA,NA,NA,666,2,1,20701,1,1946,1,5,1946,1946-12-31,5,1,1,4.2024002,Extrasystemic,Other/Unclear,NA,NA,No External Support
208,Laos,Government of France,33,NA,Lao Issara,167,NA,1,Laos,1953,1,1,1,1946-03-31,4,1946-03-31,4,220,NA,NA,NA,812,3,1,20801,1,1946,1,4,1953,1953-12-31,5,8,8,4.2024002,Extrasystemic,Low Activity,NA,NA,No External Support
209,Philippines,Government of Philippines,154,NA,Huk,168,NA,2,NA,1954,2,1,3,1946-07-31,4,1946-07-31,4,840,NA,NA,NA,840,3,3,20901,1,1946,1,3,1954,1954-12-31,5,9,9,4.2024002,Intrastate,Victory,1,6,External Support
209,Philippines,Government of Philippines,154,NA,CPP,169,NA,2,NA,1995,1,1,3,1946-07-31,4,1969-09-30,4,840,NA,NA,NA,840,3,3,20901,1,1969,1,2,1995,1995-11-29,1,27,27,4.2024002,Intrastate,Ceasefire,1,6,External Support
209,Philippines,Government of Philippines,154,NA,CPP,169,NA,2,NA,1997,1,1,3,1946-07-31,4,1997-11-23,1,840,NA,NA,NA,840,3,3,20902,2,1997,1,2,1997,1997-12-30,3,1,1,4.2024002,Intrastate,Ceasefire,1,6,External Support
210,Russia (Soviet Union),Government of Russia (Soviet Union),57,NA,Forest Brothers,171,NA,1,Estonia,1948,1,1,3,1944-12-31,6,1946-12-31,5,365,NA,NA,NA,365,1,3,21001,1,1946,1,5,1948,1948-12-31,5,3,3,4.2024002,Intrastate,Other/Unclear,NA,NA,No External Support
211,Russia (Soviet Union),Government of Russia (Soviet Union),57,NA,"LNPA, LTS(p)A","172, 173",NA,1,Latvia,1946,1,0,3,1945-12-31,5,1946-12-31,5,365,NA,NA,NA,365,1,3,21101,1,1946,1,5,1946,1946-12-31,5,1,1,4.2024002,Intrastate,Other/Unclear,NA,NA,No External Support
212,Russia (Soviet Union),Government of Russia (Soviet Union),57,NA,BDPS,174,NA,1,Lithuania,1948,1,1,3,1946-06-30,4,1946-06-30,4,365,NA,NA,NA,365,1,3,21201,1,1946,1,5,1948,1948-12-31,5,3,3,4.2024002,Intrastate,Other/Unclear,NA,NA,No External Support
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,NA,UPA,175,NA,1,Ukraine,1950,1,1,3,1941-12-31,5,1946-12-31,5,365,NA,NA,NA,365,1,3,21301,1,1946,1,5,1950,1950-12-31,5,5,5,4.2024002,Intrastate,Other/Unclear,NA,NA,No External Support
