conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
416,Central African Republic,Central African Republic,Government of Central African Republic,"anti-Balaka, Seleka",2013,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
418,United States of America,United States of America,Government of United States of America,al-Qaida,2013,Americas,1,Minor Conflict,Internationalized Intrastate,-14,-60
421,India,India,Government of India,NDFB-S,2013,Asia,1,Minor Conflict,Intrastate,34,90
423,Thailand,Thailand,Government of Thailand,Patani insurgents,2013,Asia,1,Minor Conflict,Intrastate,34,90
432,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),Forces of the Caucasus Emirate,2013,Europe,1,Minor Conflict,Intrastate,54,25
11342,India,India,Government of India,GNLA,2014,Asia,1,Minor Conflict,Intrastate,34,90
11345,South Sudan,South Sudan,Government of South Sudan,SPLM/A - IO,2014,Africa,2,War,Internationalized Intrastate,-2,22
11346,Libya,Libya,Government of Libya,"Forces of the House of Representatives, Zintan Military Council",2014,Africa,1,Minor Conflict,Intrastate,-2,22
11347,Mali,Mali,Government of Mali,"al-Murabitun, AQIM",2014,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13042,Syria,Syria,Government of Syria,PYD,2014,Middle East,1,Minor Conflict,Intrastate,29,42
13219,Ukraine,Ukraine,Government of Ukraine,Maidan,2014,Europe,1,Minor Conflict,Intrastate,54,25
13246,Ukraine,Ukraine,Government of Ukraine,DPR,2014,Europe,2,War,Internationalized Intrastate,54,25
13247,Ukraine,Ukraine,Government of Ukraine,LPR,2014,Europe,2,War,Internationalized Intrastate,54,25
13306,Ukraine,Ukraine,Government of Ukraine,United Armed Forces of Novorossiya,2014,Europe,2,War,Internationalized Intrastate,54,25
13604,Syria,Syria,Government of Syria,IS,2014,Middle East,2,War,Intrastate,29,42
13675,Lebanon,Lebanon,Government of Lebanon,IS,2014,Middle East,1,Minor Conflict,Intrastate,29,42
209,Philippines,Philippines,Government of Philippines,CPP,2014,Asia,1,Minor Conflict,Intrastate,34,90
218,India,"India, Pakistan",Government of India,Government of Pakistan,2014,Asia,1,Minor Conflict,Interstate,34,90
222,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),PSLF,2014,Asia,1,Minor Conflict,Intrastate,34,90
227,India,India,Government of India,CPI-Maoist,2014,Asia,1,Minor Conflict,Intrastate,34,90
230,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),"Ansarallah, AQAP",2014,Middle East,2,War,Internationalized Intrastate,29,42
231,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),KIO,2014,Asia,1,Minor Conflict,Intrastate,34,90
234,Israel,Israel,Government of Israel,"Hamas, PIJ",2014,Middle East,2,War,Intrastate,29,42
259,Iraq,Iraq,Government of Iraq,IS,2014,Middle East,2,War,Internationalized Intrastate,29,42
265,Democratic Republic of Congo,DR Congo (Zaire),Government of DR Congo (Zaire),Kata Katanga,2014,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
283,Democratic Republic of Congo,DR Congo (Zaire),Government of DR Congo (Zaire),"APCLS, CNPSC",2014,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
287,Burundi,Burundi,Government of Burundi,RED-TABARA,2014,Africa,1,Minor Conflict,Intrastate,-2,22
289,Colombia,Colombia,Government of Colombia,FARC,2014,Americas,1,Minor Conflict,Intrastate,-14,-60
297,Nigeria,Nigeria,Government of Nigeria,JAS,2014,Africa,2,War,Internationalized Intrastate,-2,22
299,Syria,Syria,Government of Syria,Syrian insurgents,2014,Middle East,2,War,Intrastate,29,42
308,Philippines,Philippines,Government of Philippines,"ASG, BIFM",2014,Asia,1,Minor Conflict,Intrastate,34,90
309,Sudan,Sudan,Government of Sudan,"Darfur Joint Resistance Forces, SARC, SRF",2014,Africa,1,Minor Conflict,Intrastate,-2,22
314,Uganda,Uganda,Government of Uganda,"ADF, LRA",2014,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
325,Pakistan,Pakistan,Government of Pakistan,"BLA, BRA",2014,Asia,1,Minor Conflict,Intrastate,34,90
329,Ethiopia,Ethiopia,Government of Ethiopia,ONLF,2014,Africa,1,Minor Conflict,Intrastate,-2,22
332,Mozambique,Mozambique,Government of Mozambique,Renamo,2014,Africa,1,Minor Conflict,Intrastate,-2,22
333,Afghanistan,Afghanistan,Government of Afghanistan,Taleban,2014,Asia,2,War,Internationalized Intrastate,34,90
337,Somalia,Somalia,Government of Somalia,Al-Shabaab,2014,Africa,2,War,Internationalized Intrastate,-2,22
343,Tunisia,Tunisia,Government of Tunisia,AQIM,2014,Africa,1,Minor Conflict,Intrastate,-2,22
364,India,India,Government of India,Kashmir insurgents,2014,Asia,1,Minor Conflict,Intrastate,34,90
372,Mali,Mali,Government of Mali,CMA,2014,Africa,1,Minor Conflict,Intrastate,-2,22
386,Algeria,Algeria,Government of Algeria,AQIM,2014,Africa,1,Minor Conflict,Intrastate,-2,22
388,Azerbaijan,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,2014,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
391,Egypt,Egypt,Government of Egypt,Ansar Bayt al-Maqdis,2014,Middle East,1,Minor Conflict,Intrastate,29,42
404,Pakistan,Pakistan,Government of Pakistan,"IMU, Jamaat-ul-Ahrar, Lashkar-e-Islam, TTP",2014,Asia,2,War,Intrastate,34,90
416,Central African Republic,Central African Republic,Government of Central African Republic,anti-Balaka,2014,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
418,United States of America,United States of America,Government of United States of America,al-Qaida,2014,Americas,1,Minor Conflict,Internationalized Intrastate,-14,-60
421,India,India,Government of India,NDFB-S,2014,Asia,1,Minor Conflict,Intrastate,34,90
423,Thailand,Thailand,Government of Thailand,Patani insurgents,2014,Asia,1,Minor Conflict,Intrastate,34,90
432,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),Forces of the Caucasus Emirate,2014,Europe,1,Minor Conflict,Intrastate,54,25
439,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),MNDAA,2014,Asia,1,Minor Conflict,Intrastate,34,90
11345,South Sudan,South Sudan,Government of South Sudan,SPLM/A - IO,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
11346,Libya,Libya,Government of Libya,Forces of the House of Representatives,2015,Africa,1,Minor Conflict,Intrastate,-2,22
11347,Mali,Mali,Government of Mali,"Ansar Dine, AQIM",2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13042,Syria,Syria,Government of Syria,PYD,2015,Middle East,1,Minor Conflict,Intrastate,29,42
13306,Ukraine,Ukraine,Government of Ukraine,"DPR, LPR, United Armed Forces of Novorossiya",2015,Europe,2,War,Internationalized Intrastate,54,25
13588,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),IS,2015,Europe,1,Minor Conflict,Intrastate,54,25
13604,Syria,Syria,Government of Syria,IS,2015,Middle East,2,War,Internationalized Intrastate,29,42
13611,Mali,Mali,Government of Mali,FLM,2015,Africa,1,Minor Conflict,Intrastate,-2,22
13637,Afghanistan,Afghanistan,Government of Afghanistan,IS,2015,Asia,1,Minor Conflict,Internationalized Intrastate,34,90
13638,Cameroon,Cameroon,Government of Cameroon,IS,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13639,Niger,Niger,Government of Niger,IS,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13640,Chad,Chad,Government of Chad,IS,2015,Africa,1,Minor Conflict,Intrastate,-2,22
13641,Nigeria,Nigeria,Government of Nigeria,IS,2015,Africa,2,War,Internationalized Intrastate,-2,22
