conflict_id,location,conflict_type,outcome_order,support_label,support_order,region_label,c_ep_dur,c_ep_startyear,c_ep_endyear
379,Djibouti,Intrastate,1,External Support,2,Africa,4,1991,1994
379,Djibouti,Intrastate,1,External Support,2,Africa,1,1999,1999
382,Sierra Leone,Intrastate,1,External Support,2,Africa,11,1991,2001
390,Croatia,Intrastate,1,External Support,2,Europe,4,1992,1995
392,Georgia,Intrastate,1,External Support,2,Europe,2,1992,1993
409,"Eritrea, Ethiopia",Interstate,1,External Support,2,Africa,3,1998,2000
412,Serbia (Yugoslavia),Internationalized Intrastate,1,External Support,2,Europe,2,1998,1999
416,Central African Republic,Internationalized Intrastate,1,External Support,2,Africa,1,2006,2006
417,North Macedonia,Intrastate,1,External Support,2,Europe,1,2001,2001
419,Ivory Coast,Intrastate,1,External Support,2,Africa,3,2002,2004
428,Mauritania,Intrastate,1,External Support,2,Africa,4,1975,1978
430,Niger,Intrastate,1,External Support,2,Africa,2,1991,1992
11346,Libya,Intrastate,1,External Support,2,Africa,3,2013,2015
11348,"South Sudan, Sudan",Interstate,1,External Support,2,Africa,1,2012,2012
209,Philippines,Intrastate,2,External Support,2,Asia,27,1969,1995
209,Philippines,Intrastate,2,External Support,2,Asia,1,1997,1997
218,"India, Pakistan",Interstate,2,External Support,2,Asia,1,1948,1948
218,"India, Pakistan",Interstate,2,External Support,2,Asia,8,1996,2003
218,"India, Pakistan",Interstate,2,External Support,2,Asia,8,2013,2020
221,Myanmar (Burma),Intrastate,2,External Support,2,Asia,12,2000,2011
223,Myanmar (Burma),Intrastate,2,External Support,2,Asia,5,2016,2020
231,Myanmar (Burma),Intrastate,2,External Support,2,Asia,32,1961,1992
251,India,Intrastate,2,External Support,2,Asia,6,1992,1997
251,India,Intrastate,2,External Support,2,Asia,1,2000,2000
268,"Ethiopia, Somalia",Interstate,2,External Support,2,Africa,1,1964,1964
269,Nepal,Intrastate,2,External Support,2,Asia,3,1960,1962
288,Chad,Internationalized Intrastate,2,External Support,2,Africa,2,1986,1987
289,Colombia,Intrastate,2,External Support,2,Americas,53,1964,2016
292,Peru,Intrastate,2,External Support,2,Americas,4,2007,2010
315,United Kingdom,Intrastate,2,External Support,2,Europe,1,1998,1998
320,"South Yemen, Yemen (North Yemen)",Interstate,2,External Support,2,Middle East,1,1979,1979
322,Bangladesh,Intrastate,2,External Support,2,Asia,17,1975,1991
324,"Iran, Iraq",Interstate,2,External Support,2,Middle East,9,1980,1988
325,Pakistan,Intrastate,2,External Support,2,Asia,4,1974,1977
332,Mozambique,Intrastate,2,External Support,2,Africa,1,2016,2016
336,Nicaragua,Intrastate,2,External Support,2,Americas,9,1982,1990
338,Iran,Intrastate,2,External Support,2,Middle East,7,2005,2011
342,Spain,Intrastate,2,External Support,2,Europe,3,1985,1987
347,India,Intrastate,2,External Support,2,Asia,4,1993,1996
349,"Chad, Nigeria",Interstate,2,External Support,2,Africa,1,1983,1983
352,Sri Lanka,Intrastate,2,External Support,2,Asia,18,1984,2001
354,Turkey,Intrastate,2,External Support,2,Middle East,30,1984,2013
361,"Chad, Libya",Interstate,2,External Support,2,Africa,1,1987,1987
365,India,Intrastate,2,External Support,2,Asia,1,1990,1990
365,India,Intrastate,2,External Support,2,Asia,17,1994,2010
369,Papua New Guinea,Intrastate,2,External Support,2,Asia,5,1992,1996
372,Mali,Intrastate,2,External Support,2,Africa,1,1994,1994
375,Senegal,Intrastate,2,External Support,2,Africa,1,1990,1990
375,Senegal,Intrastate,2,External Support,2,Africa,2,1992,1993
388,Azerbaijan,Intrastate,2,External Support,2,Europe,4,1991,1994
391,Egypt,Intrastate,2,External Support,2,Middle East,6,1993,1998
393,Georgia,Intrastate,2,External Support,2,Europe,1,1992,1992
393,Georgia,Intrastate,2,External Support,2,Europe,1,2004,2004
393,Georgia,Internationalized Intrastate,2,External Support,2,Europe,1,2008,2008
394,Moldova,Intrastate,2,External Support,2,Europe,1,1992,1992
401,Russia (Soviet Union),Intrastate,2,External Support,2,Europe,3,1994,1996
408,Congo,Intrastate,2,External Support,2,Africa,1,1993,1993
408,Congo,Internationalized Intrastate,2,External Support,2,Africa,1,2002,2002
408,Congo,Intrastate,2,External Support,2,Africa,1,2016,2016
421,India,Intrastate,2,External Support,2,Asia,4,2001,2004
421,India,Intrastate,2,External Support,2,Asia,2,2009,2010
426,Israel,Intrastate,2,External Support,2,Middle East,1,2006,2006
430,Niger,Intrastate,2,External Support,2,Africa,1,1997,1997
430,Niger,Intrastate,2,External Support,2,Africa,2,2007,2008
11346,Libya,Internationalized Intrastate,2,External Support,2,Africa,2,2019,2020
